#Gene	MedianCount	StDev	SinglesRatio	Ubiquity	Salinispora_tropica_CNB_440
TIGR03800	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00055	2.0000	0.0000	0.0000	1.0000	2.0
TIGR00753	1.0000	0.0000	1.0000	1.0000	1.0
TIGR01082	1.0000	0.0000	1.0000	1.0000	1.0
TIGR01087	1.0000	0.0000	1.0000	1.0000	1.0
TIGR01695	2.0000	0.0000	0.0000	1.0000	2.0
TIGR00065	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00647	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00685	2.0000	0.0000	0.0000	1.0000	2.0
TIGR01034	1.0000	0.0000	1.0000	1.0000	1.0
TIGR02727	1.0000	0.0000	1.0000	1.0000	1.0
TIGR03705	1.0000	0.0000	1.0000	1.0000	1.0
TIGR01391	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00042	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00084	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00194	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00237	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00281	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00362	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00416	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00575	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00577	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00580	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00593	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00613	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00615	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00630	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00631	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00635	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00663	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00665	1.0000	0.0000	1.0000	1.0000	1.0
TIGR01051	1.0000	0.0000	1.0000	1.0000	1.0
TIGR01059	1.0000	0.0000	1.0000	1.0000	1.0
TIGR01063	1.0000	0.0000	1.0000	1.0000	1.0
TIGR01073	1.0000	0.0000	1.0000	1.0000	1.0
TIGR01083	1.0000	0.0000	1.0000	1.0000	1.0
TIGR01128	1.0000	0.0000	1.0000	1.0000	1.0
TIGR01280	1.0000	0.0000	1.0000	1.0000	1.0
TIGR01389	1.0000	0.0000	1.0000	1.0000	1.0
TIGR02012	1.0000	0.0000	1.0000	1.0000	1.0
TIGR01198	1.0000	0.0000	1.0000	1.0000	1.0
TIGR01962	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00016	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00203	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00419	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00527	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00528	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00651	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00720	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00871	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00876	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00962	1.0000	0.0000	1.0000	1.0000	1.0
TIGR01039	1.0000	0.0000	1.0000	1.0000	1.0
TIGR01060	1.0000	0.0000	1.0000	1.0000	1.0
TIGR01064	1.0000	0.0000	1.0000	1.0000	1.0
TIGR01131	1.0000	0.0000	1.0000	1.0000	1.0
TIGR01144	1.0000	0.0000	1.0000	1.0000	1.0
TIGR01146	1.0000	0.0000	1.0000	1.0000	1.0
TIGR01216	1.0000	0.0000	1.0000	1.0000	1.0
TIGR01228	1.0000	0.0000	1.0000	1.0000	1.0
TIGR01260	1.0000	0.0000	1.0000	1.0000	1.0
TIGR01311	3.0000	0.0000	0.0000	1.0000	3.0
TIGR01312	1.0000	0.0000	1.0000	1.0000	1.0
TIGR01520	1.0000	0.0000	1.0000	1.0000	1.0
TIGR01534	1.0000	0.0000	1.0000	1.0000	1.0
TIGR01798	1.0000	0.0000	1.0000	1.0000	1.0
TIGR02159	1.0000	0.0000	1.0000	1.0000	1.0
TIGR02866	1.0000	0.0000	1.0000	1.0000	1.0
TIGR02891	2.0000	0.0000	0.0000	1.0000	2.0
TIGR00730	2.0000	0.0000	0.0000	1.0000	2.0
TIGR00121	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00357	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00401	1.0000	0.0000	1.0000	1.0000	1.0
TIGR03687	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00077	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00079	2.0000	0.0000	0.0000	1.0000	2.0
TIGR00115	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00214	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00500	3.0000	0.0000	0.0000	1.0000	3.0
TIGR00544	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00810	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00945	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00963	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00964	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00967	1.0000	0.0000	1.0000	1.0000	1.0
TIGR02227	2.0000	0.0000	0.0000	1.0000	2.0
TIGR02348	2.0000	0.0000	0.0000	1.0000	2.0
TIGR02350	1.0000	0.0000	1.0000	1.0000	1.0
TIGR03144	1.0000	0.0000	1.0000	1.0000	1.0
TIGR03346	1.0000	0.0000	1.0000	1.0000	1.0
TIGR03534	1.0000	0.0000	1.0000	1.0000	1.0
TIGR03686	1.0000	0.0000	1.0000	1.0000	1.0
TIGR03688	1.0000	0.0000	1.0000	1.0000	1.0
TIGR03689	1.0000	0.0000	1.0000	1.0000	1.0
TIGR03690	2.0000	0.0000	0.0000	1.0000	2.0
TIGR03691	1.0000	0.0000	1.0000	1.0000	1.0
TIGR03920	2.0000	0.0000	0.0000	1.0000	2.0
TIGR03921	4.0000	0.0000	0.0000	1.0000	4.0
TIGR00011	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00186	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00398	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00001	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00008	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00009	2.0000	0.0000	0.0000	1.0000	2.0
TIGR00012	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00019	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00020	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00029	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00038	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00057	3.0000	0.0000	0.0000	1.0000	3.0
TIGR00059	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00060	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00061	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00062	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00071	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00086	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00088	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00090	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00105	2.0000	0.0000	0.0000	1.0000	2.0
TIGR00116	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00133	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00135	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00150	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00157	2.0000	0.0000	0.0000	1.0000	2.0
TIGR00158	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00165	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00166	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00168	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00174	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00233	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00234	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00256	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00344	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00392	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00396	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00409	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00414	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00418	2.0000	0.0000	0.0000	1.0000	2.0
TIGR00422	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00431	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00435	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00442	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00447	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00456	2.0000	0.0000	0.0000	1.0000	2.0
TIGR00459	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00464	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00468	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00472	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00496	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00499	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00731	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00755	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00855	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00952	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00981	1.0000	0.0000	1.0000	1.0000	1.0
TIGR01009	1.0000	0.0000	1.0000	1.0000	1.0
TIGR01011	1.0000	0.0000	1.0000	1.0000	1.0
TIGR01017	2.0000	0.0000	0.0000	1.0000	2.0
TIGR01021	1.0000	0.0000	1.0000	1.0000	1.0
TIGR01022	1.0000	0.0000	1.0000	1.0000	1.0
TIGR01023	2.0000	0.0000	0.0000	1.0000	2.0
TIGR01024	1.0000	0.0000	1.0000	1.0000	1.0
TIGR01029	1.0000	0.0000	1.0000	1.0000	1.0
TIGR01030	1.0000	0.0000	1.0000	1.0000	1.0
TIGR01031	2.0000	0.0000	0.0000	1.0000	2.0
TIGR01032	1.0000	0.0000	1.0000	1.0000	1.0
TIGR01044	1.0000	0.0000	1.0000	1.0000	1.0
TIGR01049	1.0000	0.0000	1.0000	1.0000	1.0
TIGR01050	1.0000	0.0000	1.0000	1.0000	1.0
TIGR01066	1.0000	0.0000	1.0000	1.0000	1.0
TIGR01067	1.0000	0.0000	1.0000	1.0000	1.0
TIGR01071	1.0000	0.0000	1.0000	1.0000	1.0
TIGR01079	1.0000	0.0000	1.0000	1.0000	1.0
TIGR01164	1.0000	0.0000	1.0000	1.0000	1.0
TIGR01169	1.0000	0.0000	1.0000	1.0000	1.0
TIGR01171	1.0000	0.0000	1.0000	1.0000	1.0
TIGR01308	1.0000	0.0000	1.0000	1.0000	1.0
TIGR01632	1.0000	0.0000	1.0000	1.0000	1.0
TIGR02729	1.0000	0.0000	1.0000	1.0000	1.0
TIGR03631	1.0000	0.0000	1.0000	1.0000	1.0
TIGR03632	1.0000	0.0000	1.0000	1.0000	1.0
TIGR03635	1.0000	0.0000	1.0000	1.0000	1.0
TIGR03654	1.0000	0.0000	1.0000	1.0000	1.0
TIGR03953	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00878	1.0000	0.0000	1.0000	1.0000	1.0
TIGR01161	1.0000	0.0000	1.0000	1.0000	1.0
TIGR01162	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00017	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00081	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00302	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00355	1.0000	0.0000	1.0000	1.0000	1.0
TIGR01134	1.0000	0.0000	1.0000	1.0000	1.0
TIGR01736	1.0000	0.0000	1.0000	1.0000	1.0
TIGR02127	1.0000	0.0000	1.0000	1.0000	1.0
TIGR02170	1.0000	0.0000	1.0000	1.0000	1.0
TIGR02274	1.0000	0.0000	1.0000	1.0000	1.0
TIGR02504	1.0000	0.0000	1.0000	1.0000	1.0
TIGR02506	1.0000	0.0000	1.0000	1.0000	1.0
TIGR01953	1.0000	0.0000	1.0000	1.0000	1.0
TIGR02393	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00082	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00188	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00690	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00767	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00922	1.0000	0.0000	1.0000	1.0000	1.0
TIGR01951	1.0000	0.0000	1.0000	1.0000	1.0
TIGR01966	1.0000	0.0000	1.0000	1.0000	1.0
TIGR02013	1.0000	0.0000	1.0000	1.0000	1.0
TIGR02027	1.0000	0.0000	1.0000	1.0000	1.0
TIGR02191	1.0000	0.0000	1.0000	1.0000	1.0
TIGR02258	1.0000	0.0000	1.0000	1.0000	1.0
TIGR02273	1.0000	0.0000	1.0000	1.0000	1.0
TIGR02386	1.0000	0.0000	1.0000	1.0000	1.0
TIGR03988	1.0000	0.0000	1.0000	1.0000	1.0
TIGR03936	1.0000	0.0000	1.0000	1.0000	1.0
TIGR02133	1.0000	0.0000	1.0000	1.0000	1.0
TIGR02200	1.0000	0.0000	1.0000	1.0000	1.0
TIGR02947	1.0000	0.0000	1.0000	1.0000	1.0
TIGR02952	1.0000	0.0000	1.0000	1.0000	1.0
TIGR03089	1.0000	0.0000	1.0000	1.0000	1.0
TIGR03815	1.0000	0.0000	1.0000	1.0000	1.0
TIGR03817	1.0000	0.0000	1.0000	1.0000	1.0
TIGR03843	1.0000	0.0000	1.0000	1.0000	1.0
TIGR02349	1.0000	0.0000	1.0000	1.0000	1.0
TIGR02412	2.0000	0.0000	0.0000	1.0000	2.0
TIGR02753	1.0000	0.0000	1.0000	1.0000	1.0
TIGR03356	3.0000	0.0000	0.0000	1.0000	3.0
TIGR03450	1.0000	0.0000	1.0000	1.0000	1.0
TIGR03535	1.0000	0.0000	1.0000	1.0000	1.0
TIGR03625	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00177	2.0000	0.0000	0.0000	1.0000	2.0
TIGR00180	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00196	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00092	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00250	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00481	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00486	1.0000	0.0000	1.0000	1.0000	1.0
TIGR01448	1.0000	0.0000	1.0000	1.0000	1.0
TIGR03816	1.0000	0.0000	1.0000	1.0000	1.0
TIGR03941	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00103	1.0000	0.0000	1.0000	1.0000	1.0
TIGR01970	1.0000	0.0000	1.0000	1.0000	1.0
TIGR03156	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00724	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00762	1.0000	0.0000	1.0000	1.0000	1.0
TIGR01764	6.0000	0.0000	0.0000	1.0000	6.0
TIGR03954	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00368	1.0000	0.0000	1.0000	1.0000	1.0
TIGR01393	1.0000	0.0000	1.0000	1.0000	1.0
TIGR01967	1.0000	0.0000	1.0000	1.0000	1.0
TIGR03960	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00759	1.0000	0.0000	1.0000	1.0000	1.0
TIGR02927	1.0000	0.0000	1.0000	1.0000	1.0
TIGR03449	1.0000	0.0000	1.0000	1.0000	1.0
TIGR03819	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00337	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00877	1.0000	0.0000	1.0000	1.0000	1.0
TIGR01091	1.0000	0.0000	1.0000	1.0000	1.0
TIGR01369	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00484	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00485	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00487	1.0000	0.0000	1.0000	1.0000	1.0
TIGR02692	1.0000	0.0000	1.0000	1.0000	1.0
TIGR03594	1.0000	0.0000	1.0000	1.0000	1.0
TIGR03725	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00382	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00959	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00560	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00218	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00239	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00461	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00936	1.0000	0.0000	1.0000	1.0000	1.0
TIGR01132	1.0000	0.0000	1.0000	1.0000	1.0
TIGR01828	1.0000	0.0000	1.0000	1.0000	1.0
TIGR01915	1.0000	0.0000	1.0000	1.0000	1.0
TIGR01135	1.0000	0.0000	1.0000	1.0000	1.0
TIGR01455	1.0000	0.0000	1.0000	1.0000	1.0
TIGR03446	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00179	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00204	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00343	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00379	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00521	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00539	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00558	1.0000	0.0000	1.0000	1.0000	1.0
TIGR01035	1.0000	0.0000	1.0000	1.0000	1.0
TIGR03448	1.0000	0.0000	1.0000	1.0000	1.0
TIGR03699	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00036	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00119	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00262	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00465	1.0000	0.0000	1.0000	1.0000	1.0
TIGR02082	1.0000	0.0000	1.0000	1.0000	1.0
TIGR02960	1.0000	0.0000	1.0000	1.0000	1.0
TIGR02673	1.0000	0.0000	1.0000	1.0000	1.0
TIGR02158	1.0000	0.0000	1.0000	1.0000	1.0
TIGR02157	1.0000	0.0000	1.0000	1.0000	1.0
TIGR02156	1.0000	0.0000	1.0000	1.0000	1.0
TIGR01959	1.0000	0.0000	1.0000	1.0000	1.0
TIGR01430	2.0000	0.0000	0.0000	1.0000	2.0
TIGR00191	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00172	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00154	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00118	1.0000	0.0000	1.0000	1.0000	1.0
TIGR01751	2.0000	0.0000	0.0000	1.0000	2.0
TIGR01163	1.0000	0.0000	1.0000	1.0000	1.0
TIGR01125	1.0000	0.0000	1.0000	1.0000	1.0
TIGR01072	2.0000	0.0000	0.0000	1.0000	2.0
TIGR00043	1.0000	0.0000	1.0000	1.0000	1.0
#Singles List:	GrpE,Methyltransf_5,PGK,Ribosomal_L10,Ribosomal_L23,Ribosomal_S8,Ribosomal_S9,SHMT,TIGR00069,TIGR00171,TIGR01245,TIGR01808,TIGR03188,TIGR00033,TIGR00110,TIGR00120,TIGR00674,TIGR01900,TIGR00151,TIGR00018,TIGR00078,TIGR00109,TIGR00114,TIGR00152,TIGR00187,TIGR00190,TIGR00222,TIGR00223,TIGR00243,TIGR00380,TIGR00525,TIGR00550,TIGR00612,TIGR00708,TIGR01379,TIGR01498,TIGR01819,TIGR01980,TIGR01981,TIGR01994,TIGR03160,TIGR03438,TIGR03442,TIGR03447,TIGR03552,TIGR03701,TIGR03800,TIGR00753,TIGR01082,TIGR01087,TIGR00065,TIGR00647,TIGR01034,TIGR02727,TIGR03705,TIGR01391,TIGR00042,TIGR00084,TIGR00194,TIGR00237,TIGR00281,TIGR00362,TIGR00416,TIGR00575,TIGR00577,TIGR00580,TIGR00593,TIGR00613,TIGR00615,TIGR00630,TIGR00631,TIGR00635,TIGR00663,TIGR00665,TIGR01051,TIGR01059,TIGR01063,TIGR01073,TIGR01083,TIGR01128,TIGR01280,TIGR01389,TIGR02012,TIGR01198,TIGR01962,TIGR00016,TIGR00203,TIGR00419,TIGR00527,TIGR00528,TIGR00651,TIGR00720,TIGR00871,TIGR00876,TIGR00962,TIGR01039,TIGR01060,TIGR01064,TIGR01131,TIGR01144,TIGR01146,TIGR01216,TIGR01228,TIGR01260,TIGR01312,TIGR01520,TIGR01534,TIGR01798,TIGR02159,TIGR02866,TIGR00121,TIGR00357,TIGR00401,TIGR03687,TIGR00077,TIGR00115,TIGR00214,TIGR00544,TIGR00810,TIGR00945,TIGR00963,TIGR00964,TIGR00967,TIGR02350,TIGR03144,TIGR03346,TIGR03534,TIGR03686,TIGR03688,TIGR03689,TIGR03691,TIGR00011,TIGR00186,TIGR00398,TIGR00001,TIGR00008,TIGR00012,TIGR00019,TIGR00020,TIGR00029,TIGR00038,TIGR00059,TIGR00060,TIGR00061,TIGR00062,TIGR00071,TIGR00086,TIGR00088,TIGR00090,TIGR00116,TIGR00133,TIGR00135,TIGR00150,TIGR00158,TIGR00165,TIGR00166,TIGR00168,TIGR00174,TIGR00233,TIGR00234,TIGR00256,TIGR00344,TIGR00392,TIGR00396,TIGR00409,TIGR00414,TIGR00422,TIGR00431,TIGR00435,TIGR00442,TIGR00447,TIGR00459,TIGR00464,TIGR00468,TIGR00472,TIGR00496,TIGR00499,TIGR00731,TIGR00755,TIGR00855,TIGR00952,TIGR00981,TIGR01009,TIGR01011,TIGR01021,TIGR01022,TIGR01024,TIGR01029,TIGR01030,TIGR01032,TIGR01044,TIGR01049,TIGR01050,TIGR01066,TIGR01067,TIGR01071,TIGR01079,TIGR01164,TIGR01169,TIGR01171,TIGR01308,TIGR01632,TIGR02729,TIGR03631,TIGR03632,TIGR03635,TIGR03654,TIGR03953,TIGR00878,TIGR01161,TIGR01162,TIGR00017,TIGR00081,TIGR00302,TIGR00355,TIGR01134,TIGR01736,TIGR02127,TIGR02170,TIGR02274,TIGR02504,TIGR02506,TIGR01953,TIGR02393,TIGR00082,TIGR00188,TIGR00690,TIGR00767,TIGR00922,TIGR01951,TIGR01966,TIGR02013,TIGR02027,TIGR02191,TIGR02258,TIGR02273,TIGR02386,TIGR03988,TIGR03936,TIGR02133,TIGR02200,TIGR02947,TIGR02952,TIGR03089,TIGR03815,TIGR03817,TIGR03843,TIGR02349,TIGR02753,TIGR03450,TIGR03535,TIGR03625,TIGR00180,TIGR00196,TIGR00092,TIGR00250,TIGR00481,TIGR00486,TIGR01448,TIGR03816,TIGR03941,TIGR00103,TIGR01970,TIGR03156,TIGR00724,TIGR00762,TIGR03954,TIGR00368,TIGR01393,TIGR01967,TIGR03960,TIGR00759,TIGR02927,TIGR03449,TIGR03819,TIGR00337,TIGR00877,TIGR01091,TIGR01369,TIGR00484,TIGR00485,TIGR00487,TIGR02692,TIGR03594,TIGR03725,TIGR00382,TIGR00959,TIGR00560,TIGR00218,TIGR00239,TIGR00461,TIGR00936,TIGR01132,TIGR01828,TIGR01915,TIGR01135,TIGR01455,TIGR03446,TIGR00179,TIGR00204,TIGR00343,TIGR00379,TIGR00521,TIGR00539,TIGR00558,TIGR01035,TIGR03448,TIGR03699,TIGR00036,TIGR00119,TIGR00262,TIGR00465,TIGR02082,TIGR02960,TIGR02673,TIGR02158,TIGR02157,TIGR02156,TIGR01959,TIGR00191,TIGR00172,TIGR00154,TIGR00118,TIGR01163,TIGR01125,TIGR00043
